Scenario A
max Frame #: 29999
max Time: 252.049
min Time: 0.31218
Rate,bmax,Start Time
10,27489.51,1
20,24979.02,1
30,22468.53,1
40,19958.04,1
50,17447.55,1
60,14937.06,1
70,12426.57,1
80,9916.08,1
90,7405.59,1
100,4895.1,1

Scenario B
Link 1
max Frame #: 29999
max Time: 275.545
min Time: 0.317861
Rate,bmax,Start Time
10,27254.55,1
20,24509.1,1
30,21763.65,1
40,19018.2,1
50,16272.75,1
60,13527.3,1
70,10781.97,1
80,8036.68,1
90,5291.47,1
100,2546.3,1

Link 2
max Frame #: 29999
max Time: 275.704
min Time: 0.309626
Rate,bmax,Start Time
10,27252.96,1
20,24505.92,1
30,21758.88,1
40,19011.84,1
50,16264.8,1
60,13517.76,1
70,10770.72,1
80,8023.68,1
90,5276.64,1
100,2529.6,1

Link 3
max Frame #: 29999
max Time: 275.278
min Time: 0.334298
Rate,bmax,Start Time
10,27257.22,1
20,24514.44,1
30,21771.66,1
40,19028.88,1
50,16286.1,1
60,13543.32,1
70,10800.54,1
80,8057.76,1
90,5314.98,1
100,2572.2,1

Link 4
max Frame #: 29999
max Time: 275.384
min Time: 0.308239
Rate,bmax,Start Time
10,27256.16,1
20,24512.32,1
30,21768.48,1
40,19024.64,1
50,16280.8,1
60,13536.96,1
70,10793.12,1
80,8049.28,1
90,5305.52,1
100,2561.8,1

